"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,1,532.08825,30600.3333,163.19703,73.47128,5.78465,0.38071,30.30722
2,1,644.32251,2650.70691,162.61127,306.9157,4.7515,1.09586,15.45332
3,1,846.63518,31983.36146,169.05919,295.39343,7.07374,0.643,15.41976
4,1,767.60963,35738.29776,523.57879,2257.69221,0.00004,9.2194,53.82995
5,1,862.67238,37791.99362,147.40404,111.04227,6.1344,0.42218,21.93764
6,1,820.46267,77201.42365,171.03617,38.9888,5.45529,0.28126,43.81027
7,1,1081.60042,24096.61429,157.67116,116.6161,4.80481,0.28256,22.24171
8,1,1106.04371,75092.30311,166.11208,72.72756,4.71439,0.17855,29.34044
9,1,925.48135,35758.27414,394.84886,973.77901,5.65586,6.86896,54.40829
10,1,1772.38035,15728.80114,148.7541,341.81008,5.72172,0.98083,12.99488
11,1,1845.54937,33281.94882,159.6644,94.90617,6.20605,0.24066,24.88896
12,1,1793.26104,37061.34564,144.24738,280.12178,7.50263,0.51845,13.25185
13,1,1784.57978,77840.27351,158.83028,102.7896,5.8955,0.28315,23.96129
14,1,2098.57034,19963.72617,160.63015,120.63126,4.63667,0.31157,22.39615
15,1,2530.42315,78639.39736,163.43447,95.77088,5.65481,0.43298,26.57519
16,1,2682.48955,73923.28393,201.11117,80.5498,4.91625,0.23378,34.36569
17,1,3050.44387,2377.45734,209.41326,253.35871,4.26595,3.34585,35.58968
18,1,3027.14223,77553.99905,227.20587,57.99487,5.40883,0.26902,47.49809
19,1,3283.15451,16636.12547,140.31108,450.59545,6.61752,1.09697,10.60848
20,1,3781.64829,10403.51862,154.45806,263.194,4.98458,0.69751,15.05829
21,1,4025.89433,67636.6936,180.82974,59.99606,5.63668,0.30613,36.94549
22,1,4044.80043,78940.42651,167.16511,124.34882,5.34252,0.28043,22.80331
23,1,4360.67548,28410.36135,140.80782,194.49752,5.36625,0.40249,15.45578
24,1,4386.60289,55718.5277,158.9817,163.21192,5.85466,0.42696,19.27389
25,1,4379.30257,76898.40624,206.55158,65.19008,5.07151,0.21705,39.37977
26,1,4784.33631,33198.7514,527.76491,1105.17953,1.50991,5.20533,65.25408
27,1,4931.48101,12227.11185,153.61732,117.41754,4.70491,0.29695,21.64784
28,1,5260.40896,66371.5186,385.05978,691.71324,5.32417,4.07727,47.26287
29,1,5186.97152,33526.0521,162.20684,277.46147,9.4011,1.90836,18.49181
30,1,5157.98583,61279.08917,163.78932,167.67294,6.03134,0.35003,19.31812
31,1,5419.7778,45530.14203,175.77817,108.30234,7.18024,0.80215,29.52575
32,1,5479.59704,66143.94122,270.40951,663.1878,7.86071,3.82588,26.70415
33,1,5652.94797,44643.34555,191.67551,167.61022,7.01804,0.7841,25.02104
34,1,5846.6998,57400.76281,195.20876,129.33373,6.43319,0.40829,27.03517
35,1,6011.47983,25544.08248,160.3467,147.94498,4.93895,0.35913,20.24042
36,1,5935.25523,35544.9812,166.19357,100.06745,5.58452,0.21446,25.05423
37,1,6180.96563,2395.83988,139.1178,93.6043,3.57265,0.32712,22.23013
38,1,6339.71297,10821.59063,145.6542,435.96954,6.42344,1.23965,11.41221
39,1,6354.27154,20896.77107,154.96854,192.29058,5.30444,0.4797,17.34174
40,1,6327.08419,51745.82416,153.99312,305.35342,7.3823,1.12489,14.65527
41,1,6359.04064,79250.92409,167.90078,102.31042,5.59665,0.94377,30.06064
42,1,6554.31343,63504.69132,163.60863,162.83511,6.10118,0.3588,19.6303
43,1,6680.15486,34007.63161,171.20445,149.02943,6.76868,0.34653,21.51099
44,1,6659.65975,47389.43432,174.68257,332.39121,7.96735,0.64197,14.96132
45,1,7163.91606,44502.39351,145.08541,377.43869,8.83266,2.40647,14.15187
46,1,7126.80039,52367.15911,172.71491,137.10957,7.69167,1.11543,27.00118
47,1,7087.13895,79568.0003,170.32063,107.64032,5.60939,0.86789,29.05625
48,1,7527.00944,59994.31446,192.15851,277.04266,8.97117,0.62286,18.24203
49,1,7601.08635,67507.56982,163.96053,183.08231,6.36952,0.34952,18.45576
50,1,7600.73271,76494.33976,168.75688,127.50116,5.43829,0.24989,22.57755
51,1,7838.33693,44958.42718,159.38647,227.03615,8.3761,2.29184,21.93884
52,1,8077.20871,18236.29159,160.26586,199.32008,5.61865,0.58695,17.92767
53,1,8078.36346,63118.58118,164.22227,190.77305,6.62897,0.31715,17.99061
54,1,8307.11912,31798.26868,145.57388,302.92627,5.77323,0.63017,13.00413
55,1,8173.84846,74397.40694,165.46024,59.03596,5.01196,0.2148,32.96689
56,1,8457.93508,19608.67252,141.92836,236.93003,5.64418,0.7215,14.65451
57,1,8642.05042,48940.53224,154.89604,260.08575,8.69862,2.79695,20.76752
58,1,8484.83326,59298.60419,188.68184,141.65147,7.57509,0.70059,26.60157
59,1,8932.52676,12407.04251,155.65538,125.76289,4.62702,0.39608,21.57685
60,1,8873.06888,35331.03565,163.33078,210.54628,6.47704,0.42063,17.26839
61,1,8762.52384,48936.41131,435.54331,818.09279,6.439,5.00995,58.86874
62,1,9531.04846,2791.06047,140.09127,119.76001,3.8898,0.34007,19.68319
63,1,9762.38216,59553.77455,160.7578,246.19372,7.48216,0.3858,15.55609
64,1,9824.74638,67451.36604,202.37148,99.15999,6.1152,0.36191,32.13649
65,1,9948.08839,18199.8383,164.80708,390.48779,7.13075,1.10357,13.67032
66,1,10247.53396,44809.29341,151.85037,443.87622,7.68475,0.87996,11.35889
67,1,10407.71432,14882.05836,154.96082,461.93304,7.22598,0.99491,11.49302
68,1,10695.24012,64399.82493,162.16969,166.6462,5.74941,0.26424,18.90077
69,1,11720.15757,7771.42311,169.91273,145.04211,4.61092,1.24891,26.3226
70,1,11608.89073,9283.40872,136.0893,226.94953,5.09946,0.6869,14.29808
71,1,11610.34742,58347.73042,196.81051,310.20066,8.83981,0.69351,17.79017
72,1,11586.05306,70000.47732,162.25047,273.74596,7.21245,0.62274,15.35119
73,1,11578.02076,73966.86111,173.02525,610.17602,9.33896,1.02444,11.10923
74,1,11962.28165,20182.70084,155.30082,176.11629,5.65059,0.37795,17.91429
75,1,12155.92522,51620.65931,191.55449,184.72831,7.19876,0.48903,22.17379
76,1,12363.42772,7956.41495,134.2403,178.1029,6.04055,1.35584,17.90321
77,1,12439.28153,46254.68613,186.36654,191.1255,7.02395,0.50443,21.20044
78,1,12698.86489,18363.52415,153.33041,163.6095,5.75096,0.38236,18.40389
79,1,12663.68064,55448.99209,193.53733,210.07585,8.03798,0.51259,20.98627
80,1,12708.94863,70542.0603,195.29985,152.66018,7.33629,0.45322,24.95268
81,1,12843.18695,34746.22662,172.51177,134.0502,6.2016,0.43603,23.39701
82,1,12843.4939,75353.62741,168.24814,145.21045,6.71998,0.50888,22.14691
83,1,13147.43153,74263.59049,167.86906,230.67706,8.08186,0.56727,17.31756
84,1,13557.65735,59329.14798,159.11435,301.13886,7.72959,0.51173,14.07426
85,1,14043.7551,42829.52538,152.5132,154.2208,6.03343,0.33061,18.72033
86,1,13940.51464,53066.76381,154.53048,284.48296,7.80544,0.50358,14.06678
87,1,14163.98882,19413.00844,138.0317,331.69866,6.53956,0.67213,11.7892
88,1,14282.71532,34649.21417,166.44888,352.15418,7.32699,0.68383,13.86072
89,1,14344.0188,50383.33779,155.34276,253.82945,7.3209,0.48465,14.99042
90,1,14768.75725,16286.77541,136.28573,267.78098,6.59831,0.89773,13.4377
91,1,14735.48392,78554.61197,204.6432,91.51349,5.74579,0.30649,33.42094
92,1,15175.77774,27709.57222,165.65917,204.01752,6.20285,0.3888,17.72499
93,1,15133.80398,73084.18756,205.17661,273.43847,8.96324,0.74199,20.16476
94,1,15102.14928,74069.24759,231.16584,119.04854,7.24461,0.76115,38.14898
95,1,15348.20236,9149.14389,153.81612,365.12209,5.90595,0.83256,12.74603
96,1,15330.14285,52061.35458,177.38042,132.22098,7.45328,0.28946,23.49752
97,1,15436.4877,18146.42617,139.83263,176.56683,6.26501,0.45766,16.29061
98,1,15371.90316,49764.50109,180.21704,175.50407,7.51162,0.54448,21.6145
99,1,15434.28568,80556.6065,167.96787,356.42228,7.04508,0.6217,13.78984
100,1,15799.91544,8339.13464,156.69218,121.50111,4.94582,0.6496,23.37085
101,1,15797.6204,77616.44042,196.6203,83.382,6.35276,0.26601,33.27781
102,1,16112.63624,16059.64851,155.53048,469.15475,7.68854,0.95155,11.38557
