"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,1,582.265,2603.50738,160.94011,308.51872,5.95083,1.37338,15.84796
2,1,783.3457,31944.15139,158.57304,412.19819,9.8723,1.01777,12.58268
3,1,749.10497,77168.38991,177.90188,116.26485,8.94946,0.40931,25.97426
4,1,800.96375,35940.16831,143.3578,461.67245,22.19755,8.21528,21.36525
5,1,811.66988,37763.29254,137.15096,165.73359,9.12762,0.68478,17.13452
6,1,1023.8206,24055.44276,145.17674,223.99539,7.46939,0.67114,15.36328
7,1,1101.97083,70342.98212,175.79516,101.60329,8.4682,0.613,29.16241
8,1,1031.38073,75036.76106,154.09771,218.07317,8.11768,0.44695,16.03521
9,1,959.77302,35581.9819,325.75323,838.93919,8.73624,7.96083,49.77141
10,1,1717.2657,15685.2028,143.84183,515.64148,8.35368,1.53639,10.5473
11,1,1739.87485,37020.73446,137.36047,475.39961,11.36347,1.08961,10.06506
12,1,1716.89219,77804.48415,154.26722,157.28408,9.0858,0.59599,19.65932
13,1,1789.43427,33241.79906,149.71244,134.80382,8.76673,0.31954,19.69024
14,1,2036.45519,19926.07039,148.59169,164.15657,6.61138,0.59962,18.46733
15,1,2466.16524,78608.58598,158.96339,251.96451,9.37928,0.81752,16.18987
16,1,2612.03889,73872.02798,183.70132,183.23309,8.41951,0.47246,21.23187
17,1,3001.25188,2380.59227,176.91387,353.27961,6.4893,4.34593,24.66056
18,1,2957.65075,77534.77624,190.31674,102.23216,9.18476,0.49637,30.73164
19,1,3228.58996,16602.95412,148.15726,552.8215,9.74824,2.30783,11.29618
20,1,3721.07078,10364.90314,144.46869,456.66908,8.091,1.63983,11.4948
21,1,3953.93302,67589.39633,178.51281,133.01631,8.77282,0.61556,25.40556
22,1,3986.93122,78891.49144,158.64927,110.19447,7.92085,0.36574,23.48291
23,1,4308.38499,28380.26184,136.69622,247.5617,7.78273,0.79187,13.88786
24,1,4322.80662,55674.59789,148.71787,299.22655,8.23541,0.84159,13.74762
25,1,4314.8912,76880.23534,177.10036,100.61556,8.19827,0.37031,27.71215
26,1,4474.18501,32941.77276,157.08804,170.5141,9.4573,2.39176,26.73549
27,1,4867.60736,12191.50687,143.39059,189.70445,7.04129,0.53823,16.27932
28,1,5088.37283,66443.54065,358.96658,1157.69767,6.53955,9.84064,52.82698
29,1,5098.96975,61243.1982,152.95169,327.18603,9.16,0.81622,13.43316
30,1,5123.34966,33491.15245,160.9964,320.44558,10.5649,1.14807,15.01675
31,1,5344.96624,45513.63661,162.05984,239.65136,12.30196,1.25204,18.24861
32,1,5402.75242,66179.95393,311.40248,1226.40653,10.11023,9.77301,38.43946
33,1,5594.76029,44606.83241,181.90565,393.75228,11.6241,1.52703,16.11202
34,1,5867.16896,35518.1894,150.89847,179.23945,8.64174,0.40431,17.31146
35,1,5775.87688,57381.60019,184.64601,249.50839,9.86522,0.64731,18.60074
36,1,5956.24062,25497.47536,143.97536,276.88024,7.39969,0.64586,13.52383
37,1,6126.02947,2357.04856,146.73547,119.72017,5.15388,0.56862,21.58848
38,1,6296.45274,10795.30411,167.01837,795.4631,10.92077,3.24125,11.33252
39,1,6293.14231,20855.89029,141.81888,292.04659,7.81886,0.70578,13.03377
40,1,6268.08822,51703.17789,142.09527,563.17093,12.38302,2.45336,10.79036
41,1,6273.99823,79191.79859,151.98957,261.83655,9.45056,1.44096,16.54564
42,1,6499.97091,63462.72662,150.08174,319.43724,10.07053,0.6913,13.13697
43,1,6616.85183,33975.55823,157.63144,175.05974,9.25238,0.43485,18.42416
44,1,6603.39694,47347.32776,162.23747,408.64663,11.77482,0.90486,12.7814
45,1,7103.10275,44453.62224,135.50679,517.68749,14.24817,5.95652,14.79793
46,1,7068.37398,52329.63835,174.39795,253.57281,10.92593,1.79929,21.07396
47,1,6983.22216,79514.41496,199.01265,142.1795,7.52237,1.23677,32.37484
48,1,7464.50686,59947.46991,187.80915,424.27098,12.50593,1.03218,14.9095
49,1,7542.75999,67468.55195,154.04119,330.23289,9.96542,0.74049,13.33629
50,1,7531.72725,76456.19755,155.85787,265.49777,8.77105,0.59586,14.91262
51,1,7786.91269,44930.22983,124.58819,367.88579,17.26207,8.31011,20.96176
52,1,8008.86113,18198.18727,148.12972,232.95695,8.29513,0.79188,15.62916
